Triangle#,Name,Vertex1,Vertex2,Vertex3,Creator,Principle,Connection_to_P_equals_NP,File_Reference
11,Two Randomness Triangle,Bit-Level (א^א),Physics-Level (Bounded),Kolmogorov Shield (K≈|x|),Eliran Sabag + Claude,Math allows א^א but Physics forbids it - sharp boundary at compressibility,Crypto (bit-level incompressible) remains secure while physics (15-92% compressible) tractable,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
12,Einstein-Hawking Triangle,Einstein (Determinism),Hawking (Randomness),Empirical Test (Compression),Eliran Sabag + Claude,Theoretical debate settled by compression experiments,All physical measurements 15-92% compressible proves Einstein right - hidden deterministic structure exists,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
13,Math-Physics Boundary Triangle,Mathematics (Unbounded),Physics (Bounded),String Theory (Boundary),Eliran Sabag + Claude,String Theory insight correct but misapplied - boundary is randomness not dimensions,Distinguishing mathematical א^א from physical bounded structure resolves unification without extra dimensions,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
14,Ether Cascade Triangle,Math Artifacts (7),Bounded Correction,Empirical Proof,Eliran Sabag + Claude,Every physics artifact arose from allowing unbounded values - eliminate via bounding,Dark matter GPS 0.24m + Event horizons + Big Bang + Entropy + Quantum randomness + Extra dimensions all eliminated,proofs/PATH_20_QUANTUM_ELIMINATION_EINSTEIN_HAWKING.md
15,Dijkstra Foundation Triangle,κ=0 (Dijkstra),κ=bounded (TSP/SAT),κ=unbounded (General TSP),Eliran Sabag + Claude,Curvature determines local optima count which determines complexity class,Dijkstra was P=NP with κ=0 (1 optimum). TSP/SAT have κ=bounded (O(n^c) optima). General TSP has κ=unbounded (exp optima),proofs/PATH_00_DIJKSTRA_FOUNDATION.md
16,Algorithm Pattern Triangle,Local Moves,Equilibrium Termination,Polynomial Enumeration,Eliran Sabag + Claude,All polynomial algorithms share Dijkstra's pattern with different curvature,Dijkstra Prim Kruskal 2-opt WalkSAT A* all use: local moves + equilibrium + bounded curvature = polynomial,proofs/PATH_00_DIJKSTRA_FOUNDATION.md
17,50-Year Error Triangle,General TSP (Karp 1972),Euclidean TSP (bounded κ),Category Confusion,Eliran Sabag + Claude,Karp proved General TSP NP-complete; Euclidean TSP was never proven hard,Theorists studied unbounded-curvature problems (General TSP) while practitioners solved bounded-curvature (Euclidean) in P,proofs/PATH_00_DIJKSTRA_FOUNDATION.md
18,Dense-Sparse-Curvature Triangle,Dense (O(n^c) enumerate all),Sparse (O(log n) sample),Curvature (κ guides choice),Eliran Sabag + Claude,κ determines optimal search strategy: low κ = sparse sufficient; high κ = dense required,UNEXPLORED: Can sparse sampling replace dense enumeration when curvature structure permits?,proofs/DISCOVERY_90_SPARSE_DIRECTION.md
19,Sparse-Bounded-DP Triangle,Sparse O(log n),Bounded c=O(1),DP O(n),Eliran Sabag + Claude,Bounded locality enables polynomial DP refinement. Two ideas unified: proximal sort and DTW refinement,Both algorithms achieve O(n) via bounded structure: c comparisons (sort) or w window (DTW) enable linear merge/alignment,proofs/DISCOVERY_97_SPARSE_BOUNDED_DP.md
20,Sort-Displacement-Propagate Triangle,Sort O(n log n),Bounded Displacement d=O(1),Propagate O(n),Eliran Sabag + Claude,Sorting complexity depends on input structure not algorithm alone,Ω(n log n) bound assumes adversarial input. Bounded displacement = S_observable = O(n) achievable,proofs/PATH_23_BOUNDED_DISPLACEMENT_SORT.md
