Distribution#,Name,Type,Unbounded_Assumptions,Current_Usage,Status,Bounded_Alternative,Compressibility_Prediction,Evidence,File_Reference
16,Bose-Einstein,Quantum-stat,Continuous energy spectrum; unbounded occupation n→∞; diverges at T→0,Boson occupation (photons); quantum statistics,ETHER,Discrete energy levels; bounded occupation n≤N_max from S_observable,15-92%,Physical systems constrained to S_observable particle states,proofs/COMPLETE_RELATIVITY_THEORY.md
17,Chi-Squared (χ²),Statistical-test,Unbounded df; infinite tail; assumes Gaussian parent,Hypothesis testing; goodness-of-fit; variance testing,ETHER,Test against bounded alternatives; use compression ratio 15-92% as test,15-92%,Standard tests compare vs unbounded nulls - framework replaces,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
18,Student's t,Statistical-test,Infinite tails (heavier than Gaussian); unbounded df,Hypothesis testing; small samples; confidence intervals,ETHER,Test if sample is from S_observable (bounded) vs S_complete (unbounded),15-92%,Tests assume continuous parent - use bounded compression test instead,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
19,F-distribution,Statistical-test,Ratio of χ² - inherits unbounded properties; infinite tail,ANOVA; variance ratio tests,ETHER,Compare bounded variances directly; avoid unbounded ratio distributions,15-92%,Derived from χ² - same unbounded assumptions,proofs/GRAND_UNIFIED_THEORY.md
20,Cauchy,Continuous,Undefined mean/variance; infinite tails; unbounded support,Resonance; Lorentzian line shapes; physics peaks,ETHER with caveat,Truncated Cauchy with cutoffs; use for bounded resonances only,15-92%,Physical resonances have finite width - use bounded version,proofs/GRAND_UNIFIED_THEORY.md
21,Laplace (Double Exp),Continuous,Infinite tails both directions; unbounded support; continuous parameter,Absolute differences; robust statistics; L1 optimization,ETHER,Bounded Laplace or use bounded L1 with constraints,15-92%,Physical differences bounded by observable constraints,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
22,Weibull,Continuous,Shape parameter allows unbounded tails; scale parameter continuous,Failure rates; lifetime modeling; reliability,ETHER,Truncated Weibull with finite support; discrete scale parameter,15-92%,Physical lifetimes bounded by universe age and Planck time,proofs/GRAND_UNIFIED_THEORY.md
23,Gamma,Continuous,Unbounded support [0 ∞); continuous shape/scale; infinite tail,Waiting times (sum of exponentials); Bayesian priors,ETHER,Truncated Gamma; discrete parameters; bounded support from S_observable,15-92%,Sum of exponentials inherits exponential's unbounded issues,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
24,Beta,Continuous,Bounded support [0 1] BUT continuous parameters α β,Probabilities; proportions; Bayesian conjugate prior,REAL with caveat,Support bounded ✓; discretize α β parameters,15-92%,Bounded support good; parameters should be discrete,proofs/GRAND_UNIFIED_THEORY.md
25,Lognormal,Continuous,Unbounded support (0 ∞); infinite tail; multiplicative processes,Income; particle sizes; multiplicative growth,ETHER,Truncated lognormal with upper bound from S_observable,15-92%,Multiplicative processes bounded by physical constraints,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
26,Pareto,Continuous,Power law tail; unbounded; infinite variance for α≤2; wealth inequality,Wealth; city sizes; 80-20 rule,ETHER,Pareto with S_observable cutoff; characteristic scale exists,15-92%,Same as power law #4 - apparent scale-free is artifact,tasks/research/research-173.md
27,Zipf's Law,Discrete,Power law P(k)∝1/k^α; theoretically unbounded rank k,Word frequency; city rankings; web traffic,ETHER,Zipf with cutoff at maximum observable rank N_max from S_observable,15-92%,Finite vocabulary/cities/pages - naturally bounded in practice,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
28,Benford's Law,Discrete,First digit distribution P(d=k); assumes scale-invariance,First digits in financial/natural data; fraud detection,PARTIALLY REAL,Digits 1-9 bounded ✓; but assumes infinite scale range (fix: finite data),15-92%,Works because real data has bounded scales approximating scale-free,proofs/GRAND_UNIFIED_THEORY.md
29,Negative Binomial,Discrete,Theoretically unbounded k; number of failures before r successes,Overdispersed count data; infectious disease spread,REAL with caveat,Apply k_max bound; otherwise structurally sound,15-92%,Discrete and bounded in practice - close to physical,proofs/GRAND_UNIFIED_THEORY.md
30,Rayleigh,Continuous,Unbounded support [0 ∞); magnitude of 2D Gaussian vector,Signal magnitude; wind speed; wave heights,ETHER,Truncated Rayleigh with physical maximum (e.g. c for speed),15-92%,Derived from Gaussian - inherits unbounded tail issues,proofs/PATH_20_TWO_RANDOMNESS_THEOREM.md
31,Rician,Continuous,Unbounded support [0 ∞); signal+noise magnitude,Wireless communications; MRI; signal processing,ETHER,Truncated Rician with bounded signal and noise power,15-92%,Physical signals have finite power - bound both signal and noise,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
32,Gumbel (Extreme Value),Continuous,Unbounded support both directions (-∞ ∞); extreme value theory,Maximum/minimum values; flood prediction; extreme events,ETHER,Bounded extreme value distribution; max ≤ observable limit,15-92%,Extremes bounded by physical constraints (universe age energy limits),proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
33,Wishart,Matrix,Unbounded; continuous parameters; infinite dimensional limit,Random matrices; covariance estimation; multivariate stats,ETHER,Bounded matrix dimensions n×n with n≤N_max; discrete eigenvalues,15-92%,Physical systems have finite dimensions bounded by S_observable,proofs/GRAND_UNIFIED_THEORY.md
34,Dirichlet,Continuous,Bounded support (simplex) BUT continuous concentration parameters,Multinomial conjugate prior; topic modeling; compositional data,REAL with caveat,Support bounded ✓; discretize concentration parameters,15-92%,Simplex constraint bounds it; fix parameters to be discrete,proofs/GRAND_UNIFIED_THEORY.md
35,von Mises,Circular,Support bounded [0 2π) ✓; continuous concentration κ,Circular data; angles; wind direction,REAL with caveat,Support naturally bounded ✓; discretize κ to integer precision,15-92%,Angles naturally bounded; concentration should be discrete,proofs/GRAND_UNIFIED_THEORY.md
36,Planck Distribution,Quantum,ℏω continuous energy; assumes continuous spectrum; unbounded frequency,Black body radiation; photon energy distribution,ETHER,Discrete photon energies E=nℏω with n∈ℕ bounded; frequency quantized,15-92%,Planck's own quantization should make this discrete not continuous,proofs/GRAND_UNIFIED_THEORY.md
37,Wigner Semicircle,Random-matrix,Eigenvalue distribution for infinite random matrices,Random matrix theory; nuclear physics; quantum chaos,ETHER,Finite N×N matrix eigenvalues with N bounded by S_observable,15-92%,Physical matrices have finite dimension - no infinite limit,proofs/GRAND_UNIFIED_THEORY.md
38,Tracy-Widom,Random-matrix,Largest eigenvalue distribution; assumes infinite matrix limit,Random matrix extreme statistics; wireless MIMO,ETHER,Bounded matrix size; largest eigenvalue ≤ λ_max from finite N,15-92%,Largest eigenvalue bounded by matrix dimension and Nittay limit,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
39,Marchenko-Pastur,Random-matrix,Eigenvalue distribution for infinite rectangular matrices,Random matrix theory; PCA; factor analysis,ETHER,Finite m×n matrices with m n ≤ N_max from S_observable,15-92%,Data matrices have finite dimensions in practice,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
40,Poisson Point Process,Stochastic-process,Continuous intensity λ(t); unbounded time and count,Spatial processes; queuing; neuron firing,ETHER,Discrete intensity; bounded time interval [0 T_max]; finite count,15-92%,Time bounded by observation window; intensity quantized by Planck time,proofs/GRAND_UNIFIED_THEORY.md
